horodatage,media,dans_sitemap,ajoutees
2026-07-08T17:40:01,le_figaro,600,113
2026-07-08T17:40:01,le_capital,75,7
2026-07-08T17:40:01,le_nouvel_observateur,82,12
2026-07-08T17:40:01,le_monde,277,43
2026-07-08T17:40:01,les_echos,291,45
2026-07-08T17:40:01,telerama,54,10
2026-07-08T17:40:01,valeurs_actuelles,40,10
2026-07-08T17:40:01,l_opinion,76,17
2026-07-08T17:40:01,challenges,37,11
2026-07-08T17:40:01,paris_match,100,13
2026-07-08T17:40:01,atlantico,32,2
2026-07-08T17:40:01,la_depeche,999,147
2026-07-08T17:40:01,le_telegramme,1431,251
2026-07-08T17:40:01,nice_matin,199,33
2026-07-08T17:40:01,le_journal_du_dimanche,100,13
2026-07-08T17:40:01,sud_ouest,884,174
2026-07-08T17:40:01,mediapart,2516,4
2026-07-08T17:40:01,gala,153,25
2026-07-08T17:40:01,voici,94,14
2026-07-08T17:40:01,bfmtv,1000,177
2026-07-08T17:40:01,ouest_france,3464,523
2026-07-08T17:40:01,leparisien,1000,93
2026-07-08T17:40:01,la_croix,113,27
2026-07-08T17:40:01,laprovence,300,60
2026-07-08T17:40:01,marianne,30,5
2026-07-08T17:40:01,midilibre,999,61
2026-07-08T17:40:01,paris_normandie,154,34
2026-07-08T17:40:01,latribune,100,9
2026-07-08T17:40:01,liberation,100,30
2026-07-09T05:40:01,le_figaro,597,85
2026-07-09T05:40:01,le_capital,75,6
2026-07-09T05:40:01,le_nouvel_observateur,66,5
2026-07-09T05:40:01,le_monde,265,40
2026-07-09T05:40:01,les_echos,301,21
2026-07-09T05:40:01,telerama,55,3
2026-07-09T05:40:01,valeurs_actuelles,42,4
2026-07-09T05:40:01,l_opinion,75,8
2026-07-09T05:40:01,challenges,40,6
2026-07-09T05:40:01,paris_match,100,12
2026-07-09T05:40:01,atlantico,32,0
2026-07-09T05:40:01,la_depeche,999,365
2026-07-09T05:40:01,le_telegramme,1376,75
2026-07-09T05:40:01,nice_matin,201,33
2026-07-09T05:40:01,le_journal_du_dimanche,100,2
2026-07-09T05:40:01,sud_ouest,958,149
2026-07-09T05:40:01,mediapart,2506,7
2026-07-09T05:40:01,gala,146,16
2026-07-09T05:40:01,voici,94,15
2026-07-09T05:40:01,bfmtv,1000,172
2026-07-09T05:40:01,ouest_france,3441,840
2026-07-09T05:40:01,leparisien,1000,63
2026-07-09T05:40:01,la_croix,109,10
2026-07-09T05:40:01,laprovence,300,28
2026-07-09T05:40:01,marianne,30,3
2026-07-09T05:40:01,midilibre,999,182
2026-07-09T05:40:01,paris_normandie,159,16
2026-07-09T05:40:01,latribune,100,5
2026-07-09T05:40:01,liberation,100,29
2026-07-09T17:40:01,le_figaro,605,204
2026-07-09T17:40:01,le_capital,74,28
2026-07-09T17:40:01,le_nouvel_observateur,80,14
2026-07-09T17:40:01,le_monde,262,94
2026-07-09T17:40:01,les_echos,274,103
2026-07-09T17:40:01,telerama,47,24
2026-07-09T17:40:01,valeurs_actuelles,47,18
2026-07-09T17:40:01,l_opinion,74,29
2026-07-09T17:40:01,challenges,51,23
2026-07-09T17:40:01,paris_match,100,33
2026-07-09T17:40:01,atlantico,33,17
2026-07-09T17:40:01,la_depeche,999,192
2026-07-09T17:40:01,le_telegramme,1417,580
2026-07-09T17:40:01,nice_matin,212,84
2026-07-09T17:40:01,le_journal_du_dimanche,100,29
2026-07-09T17:40:01,sud_ouest,958,338
2026-07-09T17:40:01,mediapart,2517,14
2026-07-09T17:40:01,gala,152,55
2026-07-09T17:40:01,voici,94,34
2026-07-09T17:40:01,bfmtv,1000,399
2026-07-09T17:40:01,ouest_france,3466,874
2026-07-09T17:40:01,leparisien,1000,196
2026-07-09T17:40:01,la_croix,106,39
2026-07-09T17:40:01,laprovence,300,155
2026-07-09T17:40:01,marianne,30,10
2026-07-09T17:40:01,midilibre,808,130
2026-07-09T17:40:01,paris_normandie,168,68
2026-07-09T17:40:01,latribune,100,38
2026-07-09T17:40:01,liberation,100,73
2026-07-10T05:40:01,le_figaro,599,84
2026-07-10T05:40:01,le_capital,75,6
2026-07-10T05:40:01,le_nouvel_observateur,53,12
2026-07-10T05:40:01,le_monde,250,34
2026-07-10T05:40:01,les_echos,280,21
2026-07-10T05:40:01,telerama,48,2
2026-07-10T05:40:01,valeurs_actuelles,45,2
2026-07-10T05:40:01,l_opinion,74,8
2026-07-10T05:40:01,challenges,51,4
2026-07-10T05:40:01,paris_match,100,7
2026-07-10T05:40:01,atlantico,33,0
2026-07-10T05:40:01,la_depeche,999,380
2026-07-10T05:40:01,le_telegramme,1360,77
2026-07-10T05:40:01,nice_matin,223,36
2026-07-10T05:40:01,le_journal_du_dimanche,100,6
2026-07-10T05:40:01,sud_ouest,991,118
2026-07-10T05:40:01,mediapart,2511,5
2026-07-10T05:40:01,gala,156,21
2026-07-10T05:40:01,voici,97,16
2026-07-10T05:40:01,bfmtv,1000,194
2026-07-10T05:40:01,ouest_france,3401,804
2026-07-10T05:40:01,leparisien,1000,85
2026-07-10T05:40:01,la_croix,107,13
2026-07-10T05:40:01,laprovence,300,32
2026-07-10T05:40:01,marianne,28,3
2026-07-10T05:40:01,midilibre,856,188
2026-07-10T05:40:01,paris_normandie,171,19
2026-07-10T05:40:01,latribune,100,6
2026-07-10T05:40:01,liberation,100,24
2026-07-10T17:40:01,le_figaro,564,194
2026-07-10T17:40:01,le_capital,73,26
2026-07-10T17:40:01,le_nouvel_observateur,65,12
2026-07-10T17:40:01,le_monde,255,98
2026-07-10T17:40:01,les_echos,260,87
2026-07-10T17:40:01,telerama,42,14
2026-07-10T17:40:01,valeurs_actuelles,39,15
2026-07-10T17:40:01,l_opinion,65,23
2026-07-10T17:40:01,challenges,47,14
2026-07-10T17:40:01,paris_match,100,33
2026-07-10T17:40:01,atlantico,37,20
2026-07-10T17:40:01,la_depeche,999,207
2026-07-10T17:40:01,le_telegramme,1421,346
2026-07-10T17:40:01,nice_matin,223,84
2026-07-10T17:40:01,le_journal_du_dimanche,100,24
2026-07-10T17:40:01,sud_ouest,937,305
2026-07-10T17:40:01,mediapart,2525,17
2026-07-10T17:40:01,gala,139,47
2026-07-10T17:40:01,voici,100,35
2026-07-10T17:40:01,bfmtv,1000,380
2026-07-10T17:40:01,ouest_france,3481,937
2026-07-10T17:40:01,leparisien,1000,191
2026-07-10T17:40:01,la_croix,109,43
2026-07-10T17:40:01,laprovence,300,142
2026-07-10T17:40:01,marianne,30,11
2026-07-10T17:40:01,midilibre,759,138
2026-07-10T17:40:01,paris_normandie,178,76
2026-07-10T17:40:01,latribune,100,34
2026-07-10T17:40:01,liberation,100,72
2026-07-11T05:40:01,le_figaro,561,78
2026-07-11T05:40:01,le_capital,72,5
2026-07-11T05:40:01,le_nouvel_observateur,55,15
2026-07-11T05:40:01,le_monde,258,42
2026-07-11T05:40:01,les_echos,255,7
2026-07-11T05:40:01,telerama,42,3
2026-07-11T05:40:01,valeurs_actuelles,37,2
2026-07-11T05:40:01,l_opinion,60,2
2026-07-11T05:40:01,challenges,44,3
2026-07-11T05:40:01,paris_match,100,8
2026-07-11T05:40:01,atlantico,37,0
2026-07-11T05:40:01,la_depeche,999,339
2026-07-11T05:40:01,le_telegramme,1348,308
2026-07-11T05:40:01,nice_matin,213,22
2026-07-11T05:40:01,le_journal_du_dimanche,100,0
2026-07-11T05:40:01,sud_ouest,952,127
2026-07-11T05:40:01,mediapart,2514,0
2026-07-11T05:40:01,gala,146,23
2026-07-11T05:40:01,voici,108,21
2026-07-11T05:40:01,bfmtv,1000,123
2026-07-11T05:40:01,ouest_france,3507,857
2026-07-11T05:40:01,leparisien,1000,49
2026-07-11T05:40:01,la_croix,112,14
2026-07-11T05:40:01,laprovence,300,18
2026-07-11T05:40:01,marianne,29,3
2026-07-11T05:40:01,midilibre,670,141
2026-07-11T05:40:01,paris_normandie,172,8
2026-07-11T05:40:01,latribune,100,1
2026-07-11T05:40:01,liberation,100,18
2026-07-11T17:40:01,le_figaro,482,126
2026-07-11T17:40:01,le_capital,53,12
2026-07-11T17:40:01,le_nouvel_observateur,82,27
2026-07-11T17:40:01,le_monde,203,51
2026-07-11T17:40:01,les_echos,167,32
2026-07-11T17:40:01,telerama,34,15
2026-07-11T17:40:01,valeurs_actuelles,35,16
2026-07-11T17:40:01,l_opinion,35,4
2026-07-11T17:40:01,challenges,27,6
2026-07-11T17:40:01,paris_match,100,28
2026-07-11T17:40:01,atlantico,32,12
2026-07-11T17:40:01,la_depeche,999,113
2026-07-11T17:40:01,le_telegramme,1038,216
2026-07-11T17:40:01,nice_matin,189,62
2026-07-11T17:40:01,le_journal_du_dimanche,100,11
2026-07-11T17:40:01,sud_ouest,710,160
2026-07-11T17:40:01,mediapart,2521,7
2026-07-11T17:40:01,gala,136,45
2026-07-11T17:40:01,voici,102,27
2026-07-11T17:40:01,bfmtv,832,129
2026-07-11T17:40:01,ouest_france,3159,522
2026-07-11T17:40:01,leparisien,1000,136
2026-07-11T17:40:01,la_croix,99,21
2026-07-11T17:40:01,laprovence,284,92
2026-07-11T17:40:01,marianne,30,5
2026-07-11T17:40:01,midilibre,666,95
2026-07-11T17:40:01,paris_normandie,157,54
2026-07-11T17:40:01,latribune,100,8
2026-07-11T17:40:01,liberation,100,41
