horodatage,tag,media,demi,seuil,filtre,nettoie,pics,n_pics_seuil,n_mots,n_nms,n_bords,n_centres_ecartes,n_plates,n_fenetres,D,K50,K50_frac,rang_eff,rang_eff_frac,cum3,cum6,cum10,gain6,cum6_nul,exces6,v1,v2,v3,v4,v5,v6,duree_s
2026-07-31T16:41:39,lemonde_d5_s4_tous_n5000,lemonde,5,4,tous,5000,,164254,9816,133566,75,1620,0,131871,11,4,0.4000,8.98,0.8975,0.4402,0.7117,1.0000,1.186,0.6128,1.161,0.165008,0.156399,0.118771,0.095075,0.093568,0.082888,4
2026-07-31T16:41:44,lemonde_d5_s4_sans_verbes_n5000,lemonde,5,4,sans_verbes,5000,,153200,7847,123529,72,1578,0,121879,11,4,0.4000,8.94,0.8940,0.4431,0.7135,1.0000,1.189,0.6131,1.164,0.166346,0.157477,0.119229,0.094842,0.093412,0.082219,4
2026-07-31T16:41:48,lemonde_d5_s4_noms_n5000,lemonde,5,4,noms,5000,,136630,6256,109621,64,1477,0,108080,11,4,0.4000,8.90,0.8903,0.4459,0.7154,1.0000,1.192,0.6134,1.166,0.168048,0.158504,0.119375,0.094521,0.093301,0.081685,3
2026-07-31T16:41:51,lemonde_d5_s4_noms_propres_n5000,lemonde,5,4,noms_propres,5000,,15828,511,11001,6,197,0,10798,11,4,0.4000,8.24,0.8243,0.4963,0.7435,1.0000,1.239,0.6275,1.185,0.189936,0.177756,0.128636,0.089835,0.086109,0.071251,2
2026-07-31T16:41:55,lemonde_d5_s5_tous_n5000,lemonde,5,5,tous,5000,,75300,8671,61715,39,1043,0,60633,11,4,0.4000,8.50,0.8499,0.4752,0.7321,1.0000,1.220,0.6242,1.173,0.183499,0.171320,0.120398,0.091218,0.089253,0.076429,3
2026-07-31T16:42:00,lemonde_d5_s5_sans_verbes_n5000,lemonde,5,5,sans_verbes,5000,,71083,7261,57927,38,1026,0,56863,11,4,0.4000,8.48,0.8484,0.4764,0.7331,1.0000,1.222,0.6238,1.175,0.183883,0.171667,0.120867,0.091174,0.089420,0.076124,4
2026-07-31T16:42:08,lemonde_d5_s5_noms_n5000,lemonde,5,5,noms,5000,,63802,5972,51863,34,974,0,50855,11,4,0.4000,8.45,0.8445,0.4791,0.7353,1.0000,1.225,0.6246,1.177,0.185295,0.172504,0.121325,0.090936,0.089250,0.075950,6
2026-07-31T16:42:13,lemonde_d5_s5_noms_propres_n5000,lemonde,5,5,noms_propres,5000,,7927,506,5665,4,139,0,5522,11,3,0.3000,7.72,0.7724,0.5283,0.7621,1.0000,1.270,0.6424,1.186,0.208670,0.193082,0.126535,0.085460,0.081142,0.067175,3
2026-07-31T16:42:17,lemonde_d5_s6_tous_n5000,lemonde,5,6,tous,5000,,40722,7214,33687,20,694,0,32973,11,3,0.3000,8.10,0.8104,0.5020,0.7473,1.0000,1.246,0.6381,1.171,0.198474,0.181126,0.122365,0.088682,0.084657,0.072012,3
2026-07-31T16:42:21,lemonde_d5_s6_sans_verbes_n5000,lemonde,5,6,sans_verbes,5000,,38546,6297,31733,19,685,0,31029,11,3,0.3000,8.10,0.8098,0.5024,0.7480,1.0000,1.247,0.6378,1.173,0.198554,0.181139,0.122705,0.088889,0.084875,0.071862,3
